"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-256 0.0891814887501768 3 122 "GO:0008092" "cytoskeletal protein binding
" 0.308011629986203
609 0.364801240326296 3 6 "GO:0008134" "transcription factor binding
" 0.622995269481187
-23 0.937548981920883 3 33 "GO:0008135;GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding
" 0.977346417128745
1403 0.00211479596354789 2 13 "GO:0008137;GO:0050136;GO:0003954;GO:0003955;GO:0016655" "NADH dehydrogenase activity
" 0.023093571921943
182 0.604382248577656 2 22 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity
" 0.780860664995169
-191 0.333757058651815 2 70 "GO:0008146;GO:0016782" "transferase activity, transferring sulfur-containing groups
" 0.600079408918994
634 0.182009389591513 2 12 "GO:0008158" "hedgehog receptor activity
" 0.447644714941289
613 0.0032367262866184 4 63 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups
" 0.030469871594718
794 0.109596280085548 5 11 "GO:0008170" "N-methyltransferase activity
" 0.343905568544306
809 0.164534653860905 5 8 "GO:0008172" "S-methyltransferase activity
" 0.415907041703954
883 0.129178294973942 3 8 "GO:0008173" "RNA methyltransferase activity
" 0.367587689417888
-398 0.31853194311689 3 17 "GO:0008194;GO:0008375" "UDP-glycosyltransferase activity
" 0.596552979750908
60 0.525260407554111 3 316 "GO:0008233" "peptidase activity
" 0.739155109599342
-34 0.799416071042554 2 155 "GO:0008237" "metallopeptidase activity
" 0.924748251672107
114 0.657267224970786 2 41 "GO:0008238" "exopeptidase activity
" 0.811918336728618
203 0.743812012493117 2 7 "GO:0008241" "peptidyl-dipeptidase activity
" 0.879050560219138
471 0.41859626211564 2 8 "GO:0008242;GO:0004843;GO:0101005" "omega peptidase activity
" 0.660559419407917
236 0.00639539364298229 6 387 "GO:0008270" "zinc ion binding
" 0.0545607020166927
719 0.130066464904737 3 12 "GO:0008276" "protein methyltransferase activity
" 0.367587689417888
22 0.953308561783799 2 19 "GO:0008289" "lipid binding
" 0.977346417128745
-342 0.61069808724453 2 6 "GO:0008312" "7S RNA binding
" 0.780860664995169
-128 0.826212857089973 3 8 "GO:0008373" "sialyltransferase activity
" 0.943749414165534
-226 0.468070254892325 5 28 "GO:0008378" "galactosyltransferase activity
" 0.694473802095678
-1145 0.000513258162383618 2 25 "GO:0008417" "fucosyltransferase activity
" 0.00959161968318627
266 0.608738362925421 3 10 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups
" 0.780860664995169
-987 0.0135116523323301 4 17 "GO:0008508;GO:0015125;GO:0140161;GO:0008028;GO:1901618;GO:0015355" "organic hydroxy compound transmembrane transporter activity
" 0.0838336610619572
-415 0.0101299830592856 2 106 "GO:0008509" "anion transmembrane transporter activity
" 0.0709098814149992
-605 0.202924630216178 3 12 "GO:0008528;GO:0001653" "G protein-coupled peptide receptor activity
" 0.477572621112212
595 0.210441910650709 -1 12 "GO:0008565" "obsolete protein transporter activity
" 0.490842171928799
716 0.0239475800118315 2 27 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity
" 0.125724795062115
-189 0.716533528182377 2 10 "GO:0008762" "UDP-N-acetylmuramate dehydrogenase activity
" 0.865547138025615
439 0.550371156818956 2 5 "GO:0008898" "S-adenosylmethionine-homocysteine S-methyltransferase activity
" 0.752945846193649
913 7.90561218623749e-05 2 51 "GO:0009055" "electron transfer activity
" 0.00179852677236903
43 0.906366077062356 2 20 "GO:0010181" "FMN binding
" 0.977346417128745
115 0.86362437647747 2 6 "GO:0015036;GO:0016668" "disulfide oxidoreductase activity
" 0.970909220119424
694 0.00244176255044552 4 52 "GO:0015078" "proton transmembrane transporter activity
" 0.025638506779678
-567 0.00052701207050474 6 103 "GO:0015081" "sodium ion transmembrane transporter activity
" 0.00959161968318627
-177 0.562383349096437 4 29 "GO:0015103" "inorganic anion transmembrane transporter activity
" 0.756308641888312
405 0.486623159522197 2 8 "GO:0015116;GO:1901682" "sulfur compound transmembrane transporter activity
" 0.704725094002952
-442 0.112976265941614 4 35 "GO:0015171" "amino acid transmembrane transporter activity
" 0.346545175304052
-759 0.0742988885774923 3 15 "GO:0015298;GO:0015297" "solute:cation antiporter activity
" 0.288435505573558
-541 0.298512208627481 2 10 "GO:0015299" "solute:proton antiporter activity
" 0.573900232079594
-322 2.31652822404411e-05 2 515 "GO:0015318;GO:0015075;GO:0022857" "transmembrane transporter activity
" 0.000574920186512765
-510 0.00764597810331544 3 75 "GO:0015370;GO:0015294;GO:0015293" "solute:cation symporter activity
" 0.0632530915819732
-898 0.101819313306463 4 9 "GO:0015491" "cation:cation antiporter activity
" 0.330912768246005
-30 0.943972699376107 5 15 "GO:0015932" "nucleobase-containing compound transmembrane transporter activity
" 0.977346417128745
-481 0.180647134327725 1 21 "GO:0016209" "antioxidant activity
" 0.447644714941289
-1 0.992270505546194 2 443 "GO:0016491" "oxidoreductase activity
" 0.992270505546194
-24 0.955866276092948 3 15 "GO:0016500" "protein-hormone receptor activity
" 0.977346417128745
-308 0.116404157445289 2 71 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors
" 0.353092610917377
540 0.0281355489686182 3 45 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors
" 0.144924620159109
386 0.507614622742524 4 8 "GO:0016634" "oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor
" 0.718024829060669
205 0.725251798648933 3 8 "GO:0016638" "oxidoreductase activity, acting on the CH-NH2 group of donors
" 0.872219123485281
691 0.035940219439251 3 25 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H
" 0.178394180125737
241 0.612103231900975 3 12 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors
" 0.780860664995169
366 0.585859760364702 2 6 "GO:0016671" "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
" 0.776406381454192
-233 0.487886603540505 2 24 "GO:0016702;GO:0016701" "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen
" 0.704725094002952
-289 0.0466589628890028 3 131 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
" 0.205449949495125
-13 0.978479833299019 2 12 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity
" 0.982077185627324
-350 0.354041735079153 4 19 "GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen
" 0.617338934234895
599 0.0592026666083454 3 27 "GO:0016746" "transferase activity, transferring acyl groups
" 0.253517246473535
572 0.120567241943829 2 20 "GO:0016747" "transferase activity, transferring acyl groups other than amino-acyl groups
" 0.361701725831487
-407 0.00529028899301733 3 130 "GO:0016758;GO:0016757" "transferase activity, transferring glycosyl groups
" 0.0465886740352816
21 0.963771526140556 3 13 "GO:0016763" "transferase activity, transferring pentosyl groups
" 0.981416699175177
882 0.0902598183109752 3 10 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups
" 0.308011629986203
-58 0.405827837917345 2 622 "GO:0016772" "transferase activity, transferring phosphorus-containing groups
" 0.655784113553371
374 0.309771274515768 4 20 "GO:0016776;GO:0019205" "nucleobase-containing compound kinase activity
" 0.587274707936144
-77 0.9091302718021 3 6 "GO:0016780" "phosphotransferase activity, for other substituted phosphate groups
" 0.977346417128745
85 0.455692340648447 3 214 "GO:0016788" "hydrolase activity, acting on ester bonds
" 0.685465537452744
373 0.231020205377147 3 28 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
" 0.504548128543689
902 0.100174432417138 4 9 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
" 0.329489398191309
872 0.160917684563484 2 7 "GO:0016813" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
" 0.415907041703954
-851 0.1711825408405 4 7 "GO:0016814" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines
" 0.42874159311428
-9 0.967799290188598 2 54 "GO:0016829" "lyase activity
" 0.981416699175177
-26 0.941854463547819 3 22 "GO:0016831;GO:0016830" "carbon-carbon lyase activity
" 0.977346417128745
213 0.628368870026485 2 14 "GO:0016836;GO:0016835" "hydro-lyase activity
" 0.786902300537754
-8 0.977962284816307 2 29 "GO:0016853" "isomerase activity
" 0.982077185627324
-271 0.1059904496286 2 98 "GO:0016874" "ligase activity
" 0.33645805521637
-580 0.0783305754134204 3 25 "GO:0016879" "ligase activity, forming carbon-nitrogen bonds
" 0.297003431775886
-915 0.037567980606885 2 14 "GO:0016881" "acid-amino acid ligase activity
" 0.183143905458564
247 0.01818919239025 4 260 "GO:0016887" "ATPase activity
" 0.105652117500814
101 0.880252522059857 6 6 "GO:0016893" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
" 0.977346417128745
329 0.548593958134833 3 9 "GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors
" 0.752945846193649
-1363 0.0191574444423579 2 8 "GO:0016907;GO:0008227;GO:0015464;GO:0099528" "G protein-coupled amine receptor activity
" 0.108957965265911
553 0.410765873324639 3 6 "GO:0017089;GO:0120013;GO:0051861" "glycolipid transfer activity
" 0.655784113553371
90 0.216663658620489 3 566 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides
" 0.490842171928799
207 0.778252270119318 4 5 "GO:0017150" "tRNA dihydrouridine synthase activity
" 0.911857810053965
-1484 0.0437353981317284 5 5 "GO:0017153;GO:0005310" "sodium:dicarboxylate symporter activity
" 0.198996061499364
795 0.201401203854209 3 7 "GO:0018024;GO:0016279;GO:0042054;GO:0016278" "histone-lysine N-methyltransferase activity
" 0.477572621112212
-1108 0.00914986437075897 2 15 "GO:0019199" "transmembrane receptor protein kinase activity
" 0.0690910664586119
-999 0.136820121136973 2 6 "GO:0019200" "carbohydrate kinase activity
" 0.373518930703936
674 0.219319151734485 3 9 "GO:0019207;GO:0019887" "kinase regulator activity
" 0.490842171928799
-649 0.334110147090429 3 6 "GO:0019239" "deaminase activity
" 0.600079408918994
-160 0.627503520548551 4 25 "GO:0019829;GO:0042625" "ATPase-coupled ion transmembrane transporter activity
" 0.786902300537754
576 0.190852722719129 2 14 "GO:0019842" "vitamin binding
" 0.461086666392232
1397 0.0108541005649903 2 9 "GO:0019843" "rRNA binding
" 0.0740792363560588
-387 0.249961484036064 3 24 "GO:0019899" "enzyme binding
" 0.528988256913531
392 0.500337056334377 4 8 "GO:0019901;GO:0019900" "kinase binding
" 0.715141447011963
-329 0.0114649016740702 2 164 "GO:0022804" "active transmembrane transporter activity
" 0.0745557346079292
-860 1.47701875185285e-06 3 86 "GO:0022836" "gated channel activity
" 5.76037313222612e-05
-841 0.0144057668533629 3 23 "GO:0022843" "voltage-gated cation channel activity
" 0.0861876681775479
-509 0.00151150533640744 2 107 "GO:0022853;GO:0015291" "secondary active transmembrane transporter activity
" 0.0179409111669231
497 0.499319046317041 3 5 "GO:0022884" "macromolecule transmembrane transporter activity
" 0.715141447011963
-263 0.00984872957454891 2 274 "GO:0022890;GO:0008324" "cation transmembrane transporter activity
" 0.0707553466803119
819 0.222946627542751 6 6 "GO:0030145" "manganese ion binding
" 0.490842171928799
172 0.797592846764052 2 6 "GO:0030170;GO:0070279" "pyridoxal phosphate binding
" 0.924748251672107
-116 0.447869274846751 2 119 "GO:0030234;GO:0098772" "molecular function regulator
" 0.685465537452744
-216 0.459487887743048 2 32 "GO:0030246" "carbohydrate binding
" 0.685465537452744
-937 0.0400816564221056 3 13 "GO:0030247" "polysaccharide binding
" 0.185556425419659
259 0.358978197439109 2 34 "GO:0030414;GO:0004857;GO:0061134" "enzyme inhibitor activity
" 0.620259796840992
-651 0.0699780767001185 3 21 "GO:0030594" "neurotransmitter receptor activity
" 0.277635866803885
-474 0.414892879030835 2 8 "GO:0030674;GO:0060090" "protein-macromolecule adaptor activity
" 0.658521837066383
-516 0.0229542276272863 2 53 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity
" 0.12287263024018
194 0.739337702660254 2 8 "GO:0031406" "carboxylic acid binding
" 0.878331268618536
-776 0.0594326145578984 2 16 "GO:0031625;GO:0044389" "ubiquitin protein ligase binding
" 0.253517246473535
-220 0.705815534788848 2 8 "GO:0033218" "amide binding
" 0.860212683023908
-673 0.247283477685573 4 8 "GO:0034450;GO:0061630;GO:0061659" "ubiquitin-like protein ligase activity
" 0.527409292251261
809 0.2715700822683 2 5 "GO:0042162" "telomeric DNA binding
" 0.549175055253673
16 0.914903187004783 2 130 "GO:0042578" "phosphoric ester hydrolase activity
" 0.977346417128745
-23 0.914695348885494 2 59 "GO:0042626;GO:0015399" "primary active transmembrane transporter activity
" 0.977346417128745
-2419 0.00100796063478852 3 5 "GO:0043395;GO:0043394" "proteoglycan binding
" 0.0154004378205375
-174 0.242323112366865 5 125 "GO:0043565" "sequence-specific DNA binding
" 0.522314235881058
-161 0.810468673800735 2 6 "GO:0044877" "protein-containing complex binding
" 0.929655243477314
-521 1.58663024148603e-05 2 192 "GO:0046873" "metal ion transmembrane transporter activity
" 0.000481277839917429
344 0.580657027496931 2 7 "GO:0046906" "tetrapyrrole binding
" 0.776406381454192
151 0.0401019380943586 3 556 "GO:0046914" "transition metal ion binding
" 0.185556425419659
681 0.27383605817606 4 7 "GO:0046933;GO:0015252" "proton-transporting ATP synthase activity, rotational mechanism
" 0.549685616779885
-700 0.00138297265006371 3 57 "GO:0046943;GO:0005342" "organic acid transmembrane transporter activity
" 0.0171614333394269
1200 0.0391971021081414 2 8 "GO:0046961;GO:0044769" "proton-transporting ATPase activity, rotational mechanism
" 0.185556425419659
698 0.00060462951690823 2 66 "GO:0046983;GO:0046982" "protein dimerization activity
" 0.0103164911322467
37 0.946302439881285 3 9 "GO:0048018;GO:0030546;GO:0030545" "signaling receptor activator activity
" 0.977346417128745
-467 0.48682317879831 -1 6 "GO:0048037" "obsolete cofactor binding
" 0.704725094002952
669 0.281881493900184 2 7 "GO:0050145" "nucleoside monophosphate kinase activity
" 0.554241013798347
-162 0.591227789111445 2 30 "GO:0050660" "flavin adenine dinucleotide binding
" 0.779735200132486
-66 0.904086191173317 -1 9 "GO:0050662" "obsolete coenzyme binding
" 0.977346417128745
-53 0.907785145675963 3 13 "GO:0051082" "unfolded protein binding
" 0.977346417128745
-438 0.133301030228465 3 32 "GO:0051213" "dioxygenase activity
" 0.367587689417888
1008 0.00274057536159754 2 24 "GO:0051536;GO:0051540" "iron-sulfur cluster binding
" 0.0277102619894862
-20 0.94930335556874 4 27 "GO:0052689" "carboxylic ester hydrolase activity
" 0.977346417128745
